1;203;4;group1;R1
2;203;2;group1;R2
3;203;4;group1;R3
4;203;4;group1;R4
5;305;4;group1;R1
6;305;4;group1;R2
7;305;1;group1;R3
8;305;4;group1;R4
9;316;4;group1;R1
10;316;4;group1;R2
11;316;4;group1;R3
12;316;4;group1;R4
13;328;4;group1;R1
14;328;2;group1;R2
15;328;4;group1;R3
16;328;2;group1;R4
17;334;4;group1;R1
18;334;4;group1;R2
19;334;4;group1;R3
20;334;2;group1;R4
21;363;4;group1;R1
22;363;1;group1;R2
23;363;2;group1;R3
24;363;2;group1;R4
25;381;4;group1;R1
26;381;4;group1;R2
27;381;2;group1;R3
28;381;2;group1;R4
29;435;4;group1;R1
30;435;4;group1;R2
31;435;4;group1;R3
32;435;4;group1;R4
33;444;4;group1;R1
34;444;4;group1;R2
35;444;4;group1;R3
36;444;4;group1;R4
37;510;4;group1;R1
38;510;2;group1;R2
39;510;4;group1;R3
40;510;4;group1;R4
41;517;4;group1;R1
42;517;4;group1;R2
43;517;4;group1;R3
44;517;4;group1;R4
45;545;4;group1;R1
46;545;4;group1;R2
47;545;4;group1;R3
48;545;4;group1;R4
49;560;4;group1;R1
50;560;2;group1;R2
51;560;4;group1;R3
52;560;4;group1;R4
53;566;2;group1;R1
54;566;1;group1;R2
55;566;4;group1;R3
56;566;1;group1;R4
57;585;4;group1;R1
58;585;2;group1;R2
59;585;2;group1;R3
60;585;4;group1;R4
61;588;4;group1;R1
62;588;2;group1;R2
63;588;2;group1;R3
64;588;4;group1;R4
65;596;4;group1;R1
66;596;2;group1;R2
67;596;4;group1;R3
68;596;4;group1;R4
69;609;4;group1;R1
70;609;2;group1;R2
71;609;2;group1;R3
72;609;4;group1;R4
73;615;4;group1;R1
74;615;4;group1;R2
75;615;2;group1;R3
76;615;2;group1;R4
77;623;4;group1;R1
78;623;1;group1;R2
79;623;2;group1;R3
80;623;2;group1;R4
81;639;4;group1;R1
82;639;2;group1;R2
83;639;2;group1;R3
84;639;4;group1;R4
85;640;2;group1;R1
86;640;2;group1;R2
87;640;2;group1;R3
88;640;4;group1;R4
89;653;2;group1;R1
90;653;2;group1;R2
91;653;1;group1;R3
92;653;2;group1;R4
93;668;4;group1;R1
94;668;1;group1;R2
95;668;1;group1;R3
96;668;1;group1;R4
97;683;4;group1;R1
98;683;2;group1;R2
99;683;1;group1;R3
100;683;4;group1;R4
101;690;4;group1;R1
102;690;2;group1;R2
103;690;1;group1;R3
104;690;4;group1;R4
105;711;2;group1;R1
106;711;2;group1;R2
107;711;1;group1;R3
108;711;4;group1;R4
109;714;4;group1;R1
110;714;1;group1;R2
111;714;1;group1;R3
112;714;4;group1;R4
113;738;4;group1;R1
114;738;2;group1;R2
115;738;2;group1;R3
116;738;1;group1;R4
117;819;2;group1;R1
118;819;2;group1;R2
119;819;2;group1;R3
120;819;4;group1;R4
121;265;2;group2;R1
122;265;2;group2;R2
123;415;4;group2;R1
124;415;4;group2;R2
125;470;4;group2;R1
126;470;4;group2;R2
127;507;2;group2;R1
128;507;4;group2;R2
129;525;4;group2;R1
130;525;2;group2;R2
131;528;2;group2;R1
132;528;4;group2;R2
133;540;4;group2;R1
134;540;4;group2;R2
135;585;2;group2;R1
136;585;2;group2;R2
137;597;2;group2;R1
138;597;2;group2;R2
139;642;4;group2;R1
140;642;4;group2;R2
141;664;2;group2;R1
142;664;2;group2;R2
143;668;2;group2;R1
144;668;2;group2;R2
145;671;2;group2;R1
146;671;2;group2;R2
147;693;4;group2;R1
148;693;2;group2;R2
149;695;2;group2;R1
150;695;2;group2;R2
151;720;2;group2;R1
152;720;1;group2;R2
153;724;2;group2;R1
154;724;2;group2;R2
155;731;4;group2;R1
156;731;2;group2;R2
157;751;4;group2;R1
158;751;2;group2;R2
159;755;4;group2;R1
160;755;2;group2;R2
161;757;1;group2;R1
162;757;2;group2;R2
163;775;2;group2;R1
164;775;2;group2;R2
165;785;4;group2;R1
166;785;2;group2;R2
167;799;2;group2;R1
168;799;2;group2;R2
169;816;1;group2;R1
170;816;2;group2;R2
171;823;4;group2;R1
172;823;2;group2;R2
173;844;1;group2;R1
174;844;2;group2;R2
175;145;4;group3;R1
176;145;4;group3;R2
177;145;1;group3;R3
178;219;4;group3;R1
179;219;4;group3;R2
180;219;4;group3;R3
181;245;4;group3;R1
182;245;4;group3;R2
183;245;4;group3;R3
184;260;4;group3;R1
185;260;2;group3;R2
186;260;4;group3;R3
187;278;4;group3;R1
188;278;4;group3;R2
189;278;4;group3;R3
190;322;2;group3;R1
191;322;4;group3;R2
192;322;4;group3;R3
193;340;2;group3;R1
194;340;4;group3;R2
195;340;4;group3;R3
196;353;4;group3;R1
197;353;2;group3;R2
198;353;4;group3;R3
199;362;2;group3;R1
200;362;2;group3;R2
201;362;4;group3;R3
202;365;2;group3;R1
203;365;2;group3;R2
204;365;4;group3;R3
205;378;2;group3;R1
206;378;2;group3;R2
207;378;4;group3;R3
208;381;2;group3;R1
209;381;2;group3;R2
210;381;4;group3;R3
211;394;4;group3;R1
212;394;2;group3;R2
213;394;4;group3;R3
214;408;4;group3;R1
215;408;2;group3;R2
216;408;4;group3;R3
217;422;4;group3;R1
218;422;4;group3;R2
219;422;4;group3;R3
220;427;4;group3;R1
221;427;2;group3;R2
222;427;4;group3;R3
223;442;4;group3;R1
224;442;4;group3;R2
225;442;4;group3;R3
226;445;4;group3;R1
227;445;2;group3;R2
228;445;4;group3;R3
229;458;2;group3;R1
230;458;1;group3;R2
231;458;4;group3;R3
232;465;4;group3;R1
233;465;1;group3;R2
234;465;4;group3;R3
235;481;2;group3;R1
236;481;2;group3;R2
237;481;4;group3;R3
238;482;2;group3;R1
239;482;2;group3;R2
240;482;2;group3;R3
241;484;4;group3;R1
242;484;1;group3;R2
243;484;4;group3;R3
244;499;4;group3;R1
245;499;1;group3;R2
246;499;4;group3;R3
247;504;4;group3;R1
248;504;1;group3;R2
249;504;2;group3;R3
250;519;2;group3;R1
251;519;1;group3;R2
252;519;2;group3;R3
253;528;4;group3;R1
254;528;2;group3;R2
255;528;4;group3;R3
256;535;4;group3;R1
257;535;2;group3;R2
258;535;4;group3;R3
259;540;2;group3;R1
260;540;2;group3;R2
261;540;2;group3;R3
262;549;2;group3;R1
263;549;1;group3;R2
264;549;2;group3;R3
265;567;2;group3;R1
266;567;1;group3;R2
267;567;2;group3;R3
