registro;eda_mean;eda_std;percentile_20;percentile_80;quartile_deviation;slope;intercept;hr_mean;hr_std;quartile_deviation;slope;intercept;class
1;0.42897765795111353;0.08329658352191174;0.36315803236067046;0.5433017745511327;0.13965368143249113;-0.004796246150770848;0.5273007040419159;90.147;0.544896524325693;0.8125;-0.17933333333333284;91.13333333333333;4
2;0.8835483324906757;0.007775203422262018;0.8796337297748142;0.8879653908717192;0.005745393315613301;-0.00040059112733081435;0.8917604506009574;86.436;1.3406648433602724;1.9374999999999858;0.439757575757576;84.01733333333334;2
3;0.37428065581079856;0.02128532560525517;0.36316834165011486;0.3853441523002168;0.010541325362382448;-0.001188553684782395;0.39864600634883773;84.119;0.4063783130696465;0.6124999999999972;-0.1341212121212114;84.85666666666667;4
4;0.6660802372967521;0.04355675737637499;0.6206169387571029;0.7150356273112655;0.08205156325590168;-0.002851324924121674;0.7245323982412465;110.879;1.0016591791178857;1.502500000000012;-0.3286666666666676;112.68666666666667;4
5;0.17470136980928389;0.08033028785386179;0.09808686167242248;0.23851696759263585;0.12559861450159976;0.005898271929609482;0.05378679525228949;107.79599999999999;0.7594325366862926;1.0474999999999994;0.24896969696969679;106.42666666666668;4
6;0.8037588605175451;0.005897100454021177;0.8003473020193517;0.8089659525189486;0.007540758660970259;7.963667774288053e-05;0.8021263086238161;77.942;1.2931941505864906;2.012500000000017;0.4227878787878794;75.61666666666665;4
7;0.3787054293787944;0.03375760215969953;0.34751917470568827;0.3968484407549549;0.03839652045674952;0.001383056999585845;0.3503527608872846;89.57300000000001;1.0050212822511653;1.539999999999992;-0.3313333333333331;91.39533333333334;1
8;0.8293192785161982;0.015245966563570499;0.8156788868207647;0.8451913379305821;0.01824844002394299;0.0007786825904452128;0.8133562854120714;101.689;0.17552777557982283;0.22750000000000625;-0.05315151515151599;101.98133333333332;4
9;0.32330205004454593;0.11466817080153288;0.204306662457999;0.4418665939488573;0.21770376706891825;-0.006965273241826129;0.4660901515019816;110.976;0.7882639151959215;1.0350000000000108;0.2596363636363643;109.548;4
10;0.8038305237892915;0.005141799396249067;0.7974751658877222;0.8075287634007796;0.007899495414335322;0.0002839011453341804;0.7980105503099411;83.297;1.4868837659122276;2.2549999999999955;0.49060606060606;80.59866666666667;4
11;0.44360163164455013;0.005702677824929758;0.4390638099312928;0.4475857387986562;0.007185089992535698;0.0003665233682379534;0.4360879025956721;86.516;0.5390567894222499;0.8225000000000051;-0.1773333333333338;87.49133333333333;4
12;0.8435372098362537;0.007050334808566012;0.8330083554039538;0.8487622686684652;0.008927121854424125;8.32529768858195e-05;0.8418305238100946;102.016;0.5491245557956574;0.8399999999999892;0.17309090909090918;101.06400000000001;4
13;0.23060874238657614;0.19713247928601332;0.10256741183743837;0.35765563510103615;0.2162560258347451;0.011037009999085435;0.004350037405324719;115.662;1.416865084144099;2.1950000000000074;0.46678787878787853;113.09466666666665;4
14;0.8013888437353913;0.006505280697162435;0.7974751658877222;0.806092695334965;0.006104410332067101;-3.0049145820469286e-05;0.802004851224711;87.912;0.9139146568471289;1.397500000000008;0.30072727272727373;86.258;2
15;0.4415664347749949;0.017341519425061815;0.4284021790051151;0.457177540530458;0.024433945918776068;-0.0009675522587969263;0.4614012560803319;85.055;0.26713500540196944;0.332499999999996;-0.087454545454545;85.53599999999999;4
16;0.8516373701386554;0.005116261364887822;0.8466619382241282;0.8555888550882689;0.007483375288011351;0.00021158077876339538;0.8472999641740058;105.879;1.4107874081912943;2.325000000000003;0.46442424242424224;103.32466666666666;2
17;0.31120478405985774;0.15013427682904368;0.2236847757670391;0.35765563510103615;0.0977714450610101;-0.006720778991753082;0.4489807533907959;118.012;0.9542745936050043;1.4074999999999989;0.31466666666666604;116.28133333333332;4
18;0.7901134953403459;0.01071510198024011;0.7802389859408825;0.8020708079088001;0.019390282045561813;-0.0008552110889316386;0.8076453226634446;89.327;0.5292562916227068;0.7549999999999955;0.1738787878787871;88.37066666666666;4
19;0.4581598412724233;0.029166388225288834;0.4284021790051151;0.48153462713900064;0.05044088749358194;0.0021167055820351596;0.41476737684070253;84.531;0.2832921538702473;0.42250000000001364;-0.09339393939393913;85.04466666666667;4
20;0.856796750084046;0.005392374290141945;0.8528583025164606;0.8608402961699615;0.003938478316127814;0.00031802934848580564;0.850277148440087;108.377;1.1025833301841643;1.6325000000000074;0.36272727272727295;106.38199999999999;2
21;0.3084035296776447;0.17267363395606442;0.21602942082879628;0.35478508712129003;0.11423474466896899;-0.011005797603691065;0.5340223805533115;121.24000000000001;1.2977073801302197;1.8575000000000017;-0.42763636363636287;123.592;4
22;0.7840089168504258;0.007219971355988258;0.7773657287568989;0.7931658406379236;0.01436404381521017;-0.0004717430372505689;0.7936796491140625;91.652;0.8626419367913367;1.4149999999999778;-0.2745454545454543;93.162;1
23;0.4411923979591669;0.010123264249247938;0.43251297301091873;0.4493195276252995;0.013947317309841167;-0.0006844330261150099;0.4552232749945247;86.182;0.23827155376446732;0.29249999999998977;0.07660606060606087;85.76066666666665;2
24;0.8129089453659896;0.018327364470067165;0.7937286092639209;0.8279669883647514;0.03058906007855211;-0.0013070639297851124;0.8397037559265844;110.907;0.6454464432554496;0.9999999999999858;-0.21290909090909071;112.07799999999999;2
